table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
adventureworks,pg_catalog,pg_cursors,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_available_extensions,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_available_extension_versions,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_prepared_xacts,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_prepared_statements,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_seclabels,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_timezone_abbrevs,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_timezone_names,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_all_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_xact_all_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_xact_user_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_sys_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_xact_sys_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_user_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_all_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_sys_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_user_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_all_indexes,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_sys_indexes,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_user_indexes,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_all_indexes,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_sys_indexes,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_user_indexes,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_sys_sequences,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_statio_user_sequences,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_activity,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_replication,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_slru,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_wal_receiver,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_recovery_prefetch,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_subscription,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_ssl,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_gssapi,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_replication_slots,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_replication_slots,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_database,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_database_conflicts,VIEW,,,,,,YES,NO,
adventureworks,pg_catalog,pg_stat_user_functions,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_xact_user_functions,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_archiver,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_bgwriter,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_io,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_wal,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_progress_analyze,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_progress_vacuum,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_progress_cluster,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_progress_create_index,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_progress_basebackup,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_progress_copy,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_user_mappings,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stat_subscription_stats,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_largeobject,BASE TABLE,,,,,,YES,NO,
adventureworks,information_schema,collations,VIEW,,,,,,NO,NO,
adventureworks,information_schema,information_schema_catalog_name,VIEW,,,,,,NO,NO,
adventureworks,information_schema,applicable_roles,VIEW,,,,,,NO,NO,
adventureworks,information_schema,domain_constraints,VIEW,,,,,,NO,NO,
adventureworks,information_schema,administrable_role_authorizations,VIEW,,,,,,NO,NO,
adventureworks,information_schema,collation_character_set_applicability,VIEW,,,,,,NO,NO,
adventureworks,information_schema,attributes,VIEW,,,,,,NO,NO,
adventureworks,information_schema,character_sets,VIEW,,,,,,NO,NO,
adventureworks,information_schema,column_udt_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,check_constraint_routine_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,column_column_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,check_constraints,VIEW,,,,,,NO,NO,
adventureworks,information_schema,constraint_table_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,column_domain_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,columns,VIEW,,,,,,NO,NO,
adventureworks,information_schema,column_privileges,VIEW,,,,,,NO,NO,
adventureworks,information_schema,constraint_column_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,domain_udt_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,domains,VIEW,,,,,,NO,NO,
adventureworks,information_schema,enabled_roles,VIEW,,,,,,NO,NO,
adventureworks,information_schema,key_column_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,parameters,VIEW,,,,,,NO,NO,
adventureworks,information_schema,table_privileges,VIEW,,,,,,NO,NO,
adventureworks,information_schema,referential_constraints,VIEW,,,,,,NO,NO,
adventureworks,information_schema,sql_features,BASE TABLE,,,,,,YES,NO,
adventureworks,information_schema,role_column_grants,VIEW,,,,,,NO,NO,
adventureworks,information_schema,routine_column_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,routine_privileges,VIEW,,,,,,NO,NO,
adventureworks,information_schema,role_routine_grants,VIEW,,,,,,NO,NO,
adventureworks,information_schema,routine_routine_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,sql_implementation_info,BASE TABLE,,,,,,YES,NO,
adventureworks,information_schema,routine_sequence_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,routine_table_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,routines,VIEW,,,,,,NO,NO,
adventureworks,information_schema,schemata,VIEW,,,,,,NO,NO,
adventureworks,information_schema,sql_parts,BASE TABLE,,,,,,YES,NO,
adventureworks,information_schema,sequences,VIEW,,,,,,NO,NO,
adventureworks,information_schema,transforms,VIEW,,,,,,NO,NO,
adventureworks,information_schema,sql_sizing,BASE TABLE,,,,,,YES,NO,
adventureworks,information_schema,role_table_grants,VIEW,,,,,,NO,NO,
adventureworks,information_schema,table_constraints,VIEW,,,,,,NO,NO,
adventureworks,information_schema,triggers,VIEW,,,,,,NO,NO,
adventureworks,information_schema,tables,VIEW,,,,,,NO,NO,
adventureworks,information_schema,triggered_update_columns,VIEW,,,,,,NO,NO,
adventureworks,information_schema,udt_privileges,VIEW,,,,,,NO,NO,
adventureworks,information_schema,role_udt_grants,VIEW,,,,,,NO,NO,
adventureworks,information_schema,usage_privileges,VIEW,,,,,,NO,NO,
adventureworks,information_schema,role_usage_grants,VIEW,,,,,,NO,NO,
adventureworks,information_schema,user_defined_types,VIEW,,,,,,NO,NO,
adventureworks,production,illustration,BASE TABLE,,,,,,YES,NO,
